FID,REITTI,SUUNTA,PYS_JARJNR,SOLMUTUNNU,LYHYTTUNNU,X,Y,PROJ_X,PROJ_Y,NIMI,NIMIR,OSOITE,OSOITER,AIK_VOIM,VERKKO,VPPYSAKKI,TARIFFIALU,JOUKKOLLAJ
23074,4588B,1,19,4930202,V9302,2561251,6684760,2561235,6684769,Kehä III,Ring III,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23075,4588,1,15,4930211,V9311,2560544,6683912,2560537,6683933,Rajatie,Råvägen,Kuussillantie,Sexbrovägen,0,1,1,04,01
23076,4588B,1,20,4940221,V9421,2561305,6685157,2561282,6685158,Hepopolku,Häststigen,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23077,4588,1,16,4930208,V9308,2560757,6684019,2560740,6684032,Kirkkokuja,Kyrkogränden,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23078,4588B,1,21,4940219,V9419,2561305,6685286,2561280,6685285,Hevoshaanpolku,Hästhagsstigen,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23079,4588,1,17,4930206,V9306,2560981,6684370,2560963,6684381,Vaaralan Talkootie,Fagersta Talkovägen,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23080,4588B,1,22,4940217,V9417,2561308,6685506,2561286,6685509,Raudikkopolku,Fuxstigen,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23081,4588,1,18,4930204,V9304,2561132,6684602,2561115,6684614,Vaaralantie,Fagerstavägen,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23082,4588B,1,23,4940292,V9492,2561475,6685789,2561458,6685802,Kaviokuja,Hästhovsgränden,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23083,4588,1,19,4930202,V9302,2561251,6684760,2561235,6684769,Kehä III,Ring III,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23084,4588B,1,24,4940294,V9494,2561696,6686075,2561685,6686091,Suitsikuja,Betslegränden,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23085,4588,1,20,4940221,V9421,2561305,6685157,2561282,6685158,Hepopolku,Häststigen,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23086,4576,1,26,4410242,V4142,2551305,6688255,2551289,6688228,Postimiehenkuja,Postmansgränden,Tikkurilantie,Dickursbyvägen,1,1, ,04,01
23087,4588,1,21,4940219,V9419,2561305,6685286,2561280,6685285,Hevoshaanpolku,Hästhagsstigen,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23088,4588B,1,25,4940203,V9403,2561988,6685980,2561988,6686003,Hakunilan uimahalli,Håkansböle simhall,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23089,4588,1,22,4940217,V9417,2561308,6685506,2561286,6685509,Raudikkopolku,Fuxstigen,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23090,4588B,1,26,4940228,V9428,2562185,6686078,2562201,6686103,Sotungintie,Sottungsbyvägen,Sotungintie,Sottungsbyvägen,0,1,1,04,01
23091,4575,1,9,4680228,V6828,2556088,6687202,2556089,6687180,Mesikukantie,Honungsblomstervägen,Tikkurilantie,Dickursbyvägen,1,1, ,04,01
23092,4576,1,27,4410255,V4155,2550844,6688430,2550844,6688399,Caravellentie,Caravellevägen,Tikkurilantie,Dickursbyvägen,1,1, ,04,01
23093,4588B,1,27,4940202,V9402,2562372,6685890,2562407,6685912,Sotungin koulu,Sotungin koulu,Sotungintie,Sottungsbyvägen,0,1, , ,01
23094,4588,1,23,4940292,V9492,2561475,6685789,2561458,6685802,Kaviokuja,Hästhovsgränden,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23095,4575,1,10,4680204,V6804,2555757,6687197,2555756,6687175,Puutarhatie,Trädgårdsvägen,Tikkurilantie,Dickursbyvägen,1,1, ,04,01
23096,4588,1,24,4940294,V9494,2561696,6686075,2561685,6686091,Suitsikuja,Betslegränden,Hakunilantie,Håkansbölevägen,0,1,1,04,01
23097,4576,1,28,4410244,V4144,2550536,6688419,2550536,6688388,Tahkotie,Slipstensvägen,Tikkurilantie,Dickursbyvägen,1,1, ,04,01
23098,4588B,2,1,4940201,V9401,2562420,6685944,2562396,6685930,Sotungin koulu,Sotungin koulu,Sotungintie,Sottungsbyvägen,0,1,1,04,01
