FID,REITTI,SUUNTA,PYS_JARJNR,SOLMUTUNNU,LYHYTTUNNU,X,Y,PROJ_X,PROJ_Y,NIMI,NIMIR,OSOITE,OSOITER,AIK_VOIM,VERKKO,VPPYSAKKI,TARIFFIALU,JOUKKOLLAJ
20852,3001T,2,18,1285551,H0073,2553806,6680108,2553816,6680100,Oulunkylä,Åggelby,Oulunkylän tori 2 a,Åggelby torg 2 a,1,4,1,01,12
20853,3002P,1,10,4170551,V0176,2547347,6685485,2547364,6685483,Martinlaakso,Mårtensdal,Kivivuorentie 4,Stenbergsvägen 4,1,4,1,04,12
20854,3002Y,2,5,2111552,E1058,2545253,6678939,2545254,6678943,Leppävaara,Alberga,Leppäpolku 1,Alstigen 1,1,4,1,05,12
20855,31M2K,1,9,1431603,H0021,2558075,6677581,2558125,6677615,Siilitie,Igelkottsvägen,Siilitie,Igelkottsvägen,1,2,1,01,06
20856,3002Y,2,6,1291551,H0079,2549693,6678867,2549701,6678877,Huopalahti,Hoplax,Kylätie 25,Byavägen 25,1,4,1,01,12
20857,31M2K,1,10,1453601,H0023,2559946,6678096,2559946,6678107,Itäkeskus,Östra centrum,Itäkeskus,Östra centrum,1,2,1,01,06
20858,3001T,2,19,1250551,H0072,2552677,6679147,2552686,6679137,Käpylä,Kottby,Panuntie 9,Panuvägen 9,1,4,1,01,12
20859,3002P,1,11,4170552,V0177,2547075,6686351,2547088,6686357,Vantaankoski,Vandaforsen,Kivivuorentie 16,Stenbergsvägen 16,1,4,1,04,12
20860,3002P,1,12,4250551,V0256,2546831,6687421,2546833,6687422,Vehkala,Veckal,Härkähaantie 13,Oxhagsvägen 13,1,4,1,04,12
20861,31M2K,1,11,1454601,H0027,2559835,6679721,2559810,6679748,Myllypuro,Kvarnbäcken,Myllypuro,Kvarnbäcken,1,2,1,01,06
20862,3001T,2,20,1174551,H0071,2551951,6676761,2551956,6676763,Pasila,Böle,Ratapihantie 6,Bangårdsvägen 6,1,4,1,01,12
20863,3002Y,2,7,1174552,H0071,2551916,6676752,2551921,6676754,Pasila,Böle,Ratapihantie 6,Bangårdsvägen 6,1,4,1,01,12
20864,3002P,1,13,4230551,V0236,2546952,6689536,2546957,6689532,Kivistö,Kivistö,Keimolantie 10,Kainbyvägen 10,1,4,1,04,12
20865,31M2K,1,12,1473601,H0028,2560203,6681017,2560229,6680998,Kontula,Gårdsbacka,Kontula,Gårdsbacka,1,2,1,01,06
